name,url,browser,start_time,end_time,size,path
kape.zip,https://www.google.com/url?q=https://s3.amazonaws.com/cyb-us-prd-kape/kape.zip?utm_campaign%3D%26elqid%3DCDUFF000001815031%26utm_medium%3Demail%26utm_source%3DEloqua%26elqTrackId%3D1E4F7CD2BB355451C938F361CF5ACFC6%26elq%3D20c3b653981b43fcbee8826f72f35e90%26elqaid%3D8379%26elqat%3D1%26elqCampaignId%3D&source=gmail&ust=1671192758256000&usg=AOvVaw3TjkG1r2f-z_4pd2SqrBJ6,Chrome,2022-12-15 오후 9:12:40,2022-12-15 오후 9:13:02,"138,378,750",C:\Users\User\Downloads\kape.zip
마우스 트레이서 - 최신 버전.zip,https://dl.mybox.naver.com/external/url/folder,Chrome,2022-12-13 오후 10:00:10,2022-12-13 오후 10:00:10,"775,145",C:\Users\User\Downloads\마우스 트레이서 - 최신 버전.zip
DF_CAT_Forensic_Tool-1.0.4 (1).zip,https://github.com/DF-CAT/DF_CAT_Forensic_Tool/archive/refs/tags/v1.0.4.zip,Chrome,2022-12-13 오후 12:53:25,2022-12-13 오후 12:53:34,"89,873,203",C:\Users\User\Downloads\DF_CAT_Forensic_Tool-1.0.4 (1).zip
DF_CAT_Forensic_Tool-1.0.4.zip,https://github.com/DF-CAT/DF_CAT_Forensic_Tool/archive/refs/tags/v1.0.4.zip,Chrome,2022-12-13 오후 12:51:19,2022-12-13 오후 12:51:28,"89,873,203",C:\Users\User\Downloads\DF_CAT_Forensic_Tool-1.0.4.zip
winprefetchview-x64.zip,https://www.nirsoft.net/utils/winprefetchview-x64.zip,Chrome,2022-12-12 오후 9:27:24,2022-12-12 오후 9:27:26,"68,640",C:\Users\User\Downloads\winprefetchview-x64.zip
[1.2.1.42._x64_001]DFAS_Pro_DEMO_Setup 1.zip,https://drive.google.com/u/0/uc?id=1Z_hB20l8iXdh4lkgaGiF1N5XFGY4fynQ&export=download&confirm=t&uuid=ef108699-0ef5-4d3b-852b-50517e36d226&at=AHV7M3dFjyQgnR7zOXzgJV1mjidw:1670742758581,Chrome,2022-12-11 오후 4:12:40,2022-12-11 오후 4:12:53,"132,014,639",C:\Users\User\Downloads\[1.2.1.42._x64_001]DFAS_Pro_DEMO_Setup 1.zip
df-cat-navigator.xlsx,http://df-cat.com/api/navigator/default.xlsx,Chrome,2022-12-11 오후 2:29:44,2022-12-11 오후 2:29:45,"8,980",C:\Users\User\Downloads\df-cat-navigator.xlsx
DF_CAT_Tool.exe,https://github.com/DF-CAT/DF_CAT_Forensic_Tool/releases/download/v1.0.3/DF_CAT_Tool.exe,Chrome,2022-12-11 오후 2:24:18,2022-12-11 오후 2:24:22,"17,440,072",C:\Users\User\Downloads\DF_CAT_Tool.exe
DF_CAT_Tool.exe,https://github.com/DF-CAT/DF_CAT_Forensic_Tool/releases/download/v1.0.3/DF_CAT_Tool.exe,Chrome,2022-12-11 오후 2:14:55,2022-12-11 오후 2:15:03,"17,440,072",C:\Users\User\Downloads\DF_CAT_Tool.exe
browserdownloadsview-x64.zip,https://www.nirsoft.net/utils/browserdownloadsview-x64.zip,Chrome,2022-12-08 오후 9:09:09,2022-12-08 오후 9:09:11,"288,856",C:\Users\User\Downloads\browserdownloadsview-x64.zip
