name,extension,execute_time,created_time,modified_time
C:\Bitnami\wampstack-8.0.13-0\apache2\htdocs\main\delete.php,php,2021-11-26 오후 9:22:08,2021-11-26 오후 9:22:08,2021-11-27 오후 9:56:15
C:\Program Files\Java\jdk-17.0.1\bin\javaw.exe,exe,N / A,2021-11-27 오전 12:37:58,2021-11-27 오전 12:37:58
C:\ProgramData\Microsoft OneDrive\setup,,2022-12-12 오후 7:14:36,2021-10-07 오전 3:23:13,2021-10-07 오전 3:23:13
C:\Temp,,2022-11-28 오후 5:31:49,2021-10-07 오후 7:29:40,2022-05-21 오후 2:01:25
C:\Temp\t.txt,txt,2022-11-28 오후 5:31:49,2022-05-21 오후 2:01:25,2022-05-21 오후 2:01:25
C:\Users\User\AppData\Local\Programs\Python\Python310\Lib,,2022-12-13 오전 12:30:00,2021-10-07 오후 9:30:06,2021-10-07 오후 9:30:16
C:\Users\User\AppData\Local\Programs\Python\Python310\Lib\dis.py,py,2022-12-13 오전 12:30:00,2021-10-04 오후 7:12:04,2021-10-04 오후 7:12:04
C:\Users\User\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\1ced32d74a95c7bc.automaticDestinations-ms,automaticDestinations-ms,2022-05-02 오전 4:35:11,2022-09-18 오후 8:53:55,2022-12-16 오후 8:32:37
C:\Users\User\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\1ced32d74a95c7bc.customDestinations-ms,customDestinations-ms,2022-05-02 오전 4:36:52,2021-10-07 오후 9:27:27,2022-12-16 오후 8:33:50
C:\Users\User\Desktop,,2022-12-13 오전 1:08:17,2021-10-07 오전 3:20:52,2022-12-13 오전 1:05:43
C:\Users\User\Desktop,,2022-12-13 오전 10:32:49,2021-10-07 오전 3:20:52,2022-12-13 오전 10:30:32
C:\Users\User\Desktop,,2022-12-13 오후 12:34:51,2021-10-07 오전 3:20:52,2022-12-13 오후 12:32:41
C:\Users\User\Desktop,,2022-12-12 오후 7:13:24,2021-10-07 오전 3:20:52,2022-12-11 오후 9:07:29
C:\Users\User\Desktop,,2022-12-13 오전 10:06:38,2021-10-07 오전 3:20:52,2022-12-13 오전 1:36:58
C:\Users\User\Desktop,,2022-12-13 오전 12:57:38,2021-10-07 오전 3:20:52,2022-12-13 오전 12:56:14
C:\Users\User\Desktop,,2022-12-12 오후 11:47:05,2021-10-07 오전 3:20:52,2022-12-12 오후 11:38:22
C:\Users\User\Desktop,,2022-12-13 오전 1:18:06,2021-10-07 오전 3:20:52,2022-12-13 오전 1:14:40
C:\Users\User\Desktop,,2022-12-17 오후 1:31:45,2021-10-07 오전 3:20:52,2022-12-17 오전 12:07:40
C:\Users\User\Desktop,,2022-12-17 오후 1:31:45,2021-10-07 오전 3:20:52,2022-12-17 오후 1:31:48
C:\Users\User\Desktop\(붙임2) 2022 SCH AI·SW Festival_포스터양식_정보보호학과.pptx,pptx,N / A,N / A,N / A
C:\Users\User\Desktop\0001.png,png,N / A,N / A,N / A
C:\Users\User\Desktop\0002.png,png,N / A,N / A,N / A
C:\Users\User\Desktop\0003.png,png,N / A,N / A,N / A
C:\Users\User\Desktop\07 스택 프래임 변조 - BO (1).pptx,pptx,N / A,N / A,N / A
C:\Users\User\Desktop\1. AMLCFT 관련 위험평가 및 위험기반접근법 처리 기준.hwp,hwp,N / A,N / A,N / A
C:\Users\User\Desktop\1.2v캡스톤 2학기 12주차.pptx,pptx,N / A,N / A,N / A
C:\Users\User\Desktop\1003 DF ATT&CK 주간보고서 1주차.hwp,hwp,N / A,N / A,N / A
C:\Users\User\Desktop\1016 DF ATT&CK 주간보고서 3주차.hwp,hwp,N / A,N / A,N / A
C:\Users\User\Desktop\12361970eb48596424b4ddfe4d48f37907d20123af3a45a59c7218c763debbc2.bin.sample.gz,gz,2022-01-19 오후 7:50:06,N / A,N / A
C:\Users\User\Desktop\1차발표 (1).pdf,pdf,N / A,N / A,N / A
C:\Users\User\Desktop\1차발표_최종.pdf,pdf,N / A,N / A,N / A
C:\Users\User\Desktop\20184587_이익규.7z,7z,N / A,N / A,N / A
C:\Users\User\Desktop\20184587_정보보호학과_이익규_물리과제2.jpg,jpg,N / A,N / A,N / A
C:\Users\User\Desktop\2022 산업위생학개론 10 IH statistics.pdf,pdf,N / A,N / A,N / A
C:\Users\User\Desktop\2022 산업위생학개론 10 IH statistics.pdf,pdf,2022-12-08 오전 2:04:46,2022-12-08 오전 2:01:14,2022-12-08 오전 2:01:14
C:\Users\User\Desktop\2022 산업위생학개론 11 NIOSH sampling strategy 1977.pdf,pdf,N / A,N / A,N / A
C:\Users\User\Desktop\2022 산업위생학개론 11 NIOSH sampling strategy 1977.pdf,pdf,2022-12-08 오전 2:07:19,2022-12-08 오전 2:01:17,2022-12-08 오전 2:01:18
C:\Users\User\Desktop\2022 산업위생학개론 5.PDF,PDF,2022-12-08 오전 2:05:51,2022-12-08 오전 2:01:22,2022-12-08 오전 2:01:22
C:\Users\User\Desktop\2022 산업위생학개론 5.PDF,PDF,N / A,N / A,N / A
C:\Users\User\Desktop\2022 산업위생학개론 6 exposure assessment concepts.pdf,pdf,2022-12-08 오전 2:06:17,2022-12-08 오전 2:01:25,2022-12-08 오전 2:01:26
C:\Users\User\Desktop\2022 산업위생학개론 6 exposure assessment concepts.pdf,pdf,N / A,N / A,N / A
C:\Users\User\Desktop\2022 산업위생학개론 7 sampling & monitoring.pdf,pdf,2022-12-08 오전 2:01:30,N / A,N / A
C:\Users\User\Desktop\2022 산업위생학개론 7 sampling & monitoring.pdf,pdf,2022-12-08 오전 2:06:52,2022-12-08 오전 2:01:30,2022-12-08 오전 2:01:31
C:\Users\User\Desktop\2022 산업위생학개론 8 aerosol sampling.pdf,pdf,N / A,N / A,N / A
C:\Users\User\Desktop\2022 산업위생학개론 8 aerosol sampling.pdf,pdf,2022-12-08 오전 2:01:06,N / A,N / A
C:\Users\User\Desktop\2022 산업위생학개론 9 gas and vapor sampling.pdf,pdf,N / A,N / A,N / A
C:\Users\User\Desktop\2022 산업위생학개론 9 gas and vapor sampling.pdf,pdf,2022-12-08 오전 2:01:09,N / A,N / A
