name,path,action_time
SHELLBAGSVIEW.EXE,C:\Users\User\AppData\Local\Temp\TMPKR5E7L6F\SHELLBAGSVIEW.EXE,2022-12-17 오후 1:32:47
RECENTFILESVIEW.EXE,C:\Users\User\AppData\Local\Temp\TMPKR5E7L6F\RECENTFILESVIEW.EXE,2022-12-17 오후 1:32:32
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-17 오후 1:32:31
BACKGROUNDTASKHOST.EXE,C:\Windows\System32\BACKGROUNDTASKHOST.EXE,2022-12-17 오후 1:32:31
OUTLOOKATTACHVIEW.EXE,C:\Users\User\AppData\Local\Temp\TMPKR5E7L6F\OUTLOOKATTACHVIEW.EXE,2022-12-17 오후 1:32:30
FILECOAUTH.EXE,C:\PROGRAM FILES\MICROSOFT ONEDRIVE\22.238.1114.0002\FILECOAUTH.EXE,2022-12-17 오후 1:32:30
BROWSERDOWNLOADSVIEW.EXE,C:\Users\User\AppData\Local\Temp\TMPKR5E7L6F\BROWSERDOWNLOADSVIEW.EXE,2022-12-17 오후 1:32:21
OPENSAVEFILESVIEW.EXE,C:\Users\User\AppData\Local\Temp\TMPKR5E7L6F\OPENSAVEFILESVIEW.EXE,2022-12-17 오후 1:32:12
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-17 오후 1:32:02
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-17 오후 1:31:55
COMPPKGSRV.EXE,C:\WINDOWS\SYSTEM32\COMPPKGSRV.EXE,2022-12-17 오후 1:31:53
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-17 오후 1:31:51
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-17 오후 1:31:51
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-17 오후 1:31:50
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-17 오후 1:31:50
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-17 오후 1:31:50
dllhost.exe,C:\Windows\System32\dllhost.exe,2022-12-17 오후 1:31:50
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-17 오후 1:31:49
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-17 오후 1:31:49
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-17 오후 1:31:49
SEARCHFILTERHOST.EXE,C:\Windows\System32\SEARCHFILTERHOST.EXE,2022-12-17 오후 1:31:49
SEARCHPROTOCOLHOST.EXE,C:\Windows\System32\SEARCHPROTOCOLHOST.EXE,2022-12-17 오후 1:31:49
whoami.exe,C:\Windows\System32\whoami.exe,2022-12-17 오후 1:31:48
Desktop,C:\Users\User\Desktop,2022-12-17 오후 1:31:45
Desktop,C:\Users\User\Desktop,2022-12-17 오후 1:31:45
CONHOST.EXE,C:\WINDOWS\SYSTEM32\CONHOST.EXE,2022-12-17 오후 1:31:37
cmd.exe,C:\Windows\System32\cmd.exe,2022-12-17 오후 1:31:37
CACAT_V1.0.4.EXE,C:\Users\User\Desktop\Me\Code\PY\DF_CAT_FORENSIC_TOOL\CACAT_V1.0.4.EXE,2022-12-17 오후 1:31:36
CACAT_V1.0.4.EXE,C:\Users\User\Desktop\Me\Code\PY\DF_CAT_FORENSIC_TOOL\CACAT_V1.0.4.EXE,2022-12-17 오후 1:31:31
AUDIODG.EXE,C:\WINDOWS\SYSTEM32\AUDIODG.EXE,2022-12-17 오후 1:31:30
CONSENT.EXE,C:\WINDOWS\SYSTEM32\CONSENT.EXE,2022-12-17 오후 1:31:29
PY,Me\Code\PY,2022-12-17 오후 1:31:28
rundll32.exe,C:\Windows\System32\rundll32.exe,2022-12-17 오후 1:31:21
USOCLIENT.EXE,C:\WINDOWS\SYSTEM32\USOCLIENT.EXE,2022-12-17 오후 1:31:08
RUNTIMEBROKER.EXE,C:\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE,2022-12-17 오후 1:30:09
USOCLIENT.EXE,C:\WINDOWS\SYSTEM32\USOCLIENT.EXE,2022-12-17 오후 1:30:08
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-17 오후 1:30:08
Teams.exe,C:\Users\User\AppData\Local\MICROSOFT\Teams\current\Teams.exe,2022-12-17 오후 1:29:13
LocationNotificationWindows.exe,C:\Windows\System32\LocationNotificationWindows.exe,2022-12-17 오후 1:29:10
msedge.exe,C:\PROGRAM FILES (X86)\MICROSOFT\Edge\APPLICATION\msedge.exe,2022-12-17 오후 1:28:11
BACKGROUNDTASKHOST.EXE,C:\Windows\System32\BACKGROUNDTASKHOST.EXE,2022-12-17 오후 1:28:10
LENOVO.MODERN.IMCONTROLLER.PLUGINHOST.DEVICE.EXE,C:\Windows\Lenovo\IMCONTROLLER\PLUGINHOST86\LENOVO.MODERN.IMCONTROLLER.PLUGINHOST.DEVICE.EXE,2022-12-17 오후 1:27:39
LENOVOVANTAGE-(LENOVOCOMPANIONAPPADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(LENOVOCOMPANIONAPPADDIN).EXE,2022-12-17 오후 1:27:33
LENOVOVANTAGE-(GENERICTELEMETRYADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(GENERICTELEMETRYADDIN).EXE,2022-12-17 오후 1:27:32
dllhost.exe,C:\Windows\System32\dllhost.exe,2022-12-17 오후 1:27:31
SEARCHAPP.EXE,C:\Windows\SYSTEMAPPS\MICROSOFT.WINDOWS.SEARCH_CW5N1H2TXYEWY\SEARCHAPP.EXE,2022-12-17 오후 1:27:30
LENOVOVANTAGE-(SMARTDISPLAYADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(SMARTDISPLAYADDIN).EXE,2022-12-17 오후 1:27:30
LENOVOVANTAGE-(SMARTPRIVACYADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(SMARTPRIVACYADDIN).EXE,2022-12-17 오후 1:27:25
LENOVOVANTAGE-(SMARTINTERACTADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(SMARTINTERACTADDIN).EXE,2022-12-17 오후 1:27:24
netsh.exe,C:\Windows\System32\netsh.exe,2022-12-17 오후 1:27:23
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-17 오후 1:27:23
WmiPrvSE.exe,C:\Windows\System32\wbem\WmiPrvSE.exe,2022-12-17 오후 1:27:23
LENOVOVANTAGE-(LENOVOSECURITYADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(LENOVOSECURITYADDIN).EXE,2022-12-17 오후 1:27:22
OfficeC2RClient.exe,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe,2022-12-17 오후 1:27:22
"BGHelper.exe""","""C:\ProgramData\Lenovo\ImController\Plugins\LenovoBatteryGaugePackage\x64\BGHelper.exe""",2022-12-17 오후 1:27:22
WorkFoldersShell.dll,C:\Windows\System32\WorkFoldersShell.dll,2022-12-17 오후 1:27:22
LENOVOVANTAGE-(LENOVOSERVICEBRIDGEADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(LENOVOSERVICEBRIDGEADDIN).EXE,2022-12-17 오후 1:27:21
LENOVOVANTAGE-(DEVICESETTINGSSYSTEMADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(DEVICESETTINGSSYSTEMADDIN).EXE,2022-12-17 오후 1:27:20
LENOVOVANTAGE-(DEVICESETTINGSHEARTBEATADDIN).EXE,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(DEVICESETTINGSHEARTBEATADDIN).EXE,2022-12-17 오후 1:27:19
LENOVOVANTAGE-(LENOVOSYSTEMUPDATEADDIN).EXE.CONFIG,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(LENOVOSYSTEMUPDATEADDIN).EXE.CONFIG,2022-12-17 오후 1:27:18
LENOVOVANTAGE-(LENOVOSYSTEMUPDATEADDIN).EXE.CONFIG,C:\PROGRAM FILES (X86)\Lenovo\VANTAGESERVICE\3.13.43.0\LENOVOVANTAGE-(LENOVOSYSTEMUPDATEADDIN).EXE.CONFIG,2022-12-17 오후 1:27:17
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-17 오후 1:26:11
wosc.dll,C:\Windows\System32\wosc.dll,2022-12-17 오후 1:26:11
LENOVO.MODERN.IMCONTROLLER.PLUGINHOST.DEVICE.EXE,C:\Windows\Lenovo\IMCONTROLLER\PLUGINHOST86\LENOVO.MODERN.IMCONTROLLER.PLUGINHOST.DEVICE.EXE,2022-12-17 오후 1:25:41
LENOVO.MODERN.IMCONTROLLER.PLUGINHOST.COMPANIONAPP.EXE,C:\Windows\Lenovo\IMCONTROLLER\PLUGINHOST\LENOVO.MODERN.IMCONTROLLER.PLUGINHOST.COMPANIONAPP.EXE,2022-12-17 오후 1:25:41
icacls.exe,C:\Windows\System32\icacls.exe,2022-12-17 오후 1:25:23
CONHOST.EXE,C:\WINDOWS\SYSTEM32\CONHOST.EXE,2022-12-17 오후 1:25:23
icacls.exe,C:\Windows\System32\icacls.exe,2022-12-17 오후 1:25:23
icacls.exe,C:\Windows\System32\icacls.exe,2022-12-17 오후 1:25:22
LENOVO.MODERN.IMCONTROLLER.PLUGINHOST.DEVICE.EXE,C:\Windows\Lenovo\IMCONTROLLER\PLUGINHOST86\LENOVO.MODERN.IMCONTROLLER.PLUGINHOST.DEVICE.EXE,2022-12-17 오후 1:25:21
LENOVO.MODERN.IMCONTROLLER.PLUGINHOST.DEVICE.EXE,C:\Windows\Lenovo\IMCONTROLLER\PLUGINHOST86\LENOVO.MODERN.IMCONTROLLER.PLUGINHOST.DEVICE.EXE,2022-12-17 오후 1:25:21
JandiApp.exe,C:\Users\User\AppData\Local\JandiApp\APP-1.5.6\JandiApp.exe,2022-12-17 오후 1:25:20
dllhost.exe,C:\Windows\System32\dllhost.exe,2022-12-17 오후 1:25:18
WUAPIHOST.EXE,C:\WINDOWS\SYSTEM32\WUAPIHOST.EXE,2022-12-17 오후 1:25:17
svchost.exe,C:\Windows\System32\svchost.exe,2022-12-17 오후 1:25:16
SPPSVC.EXE,C:\WINDOWS\SYSTEM32\SPPSVC.EXE,2022-12-17 오후 1:25:15
"Lenovo.Modern.ImController.exe""","""C:\Windows\Lenovo\ImController\Service\Lenovo.Modern.ImController.exe""",2022-12-17 오후 1:25:15
devicecensus.exe,C:\Windows\system32\devicecensus.exe,2022-12-17 오후 1:25:15
ScheduleEventAction.exe,C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\ScheduleEventAction.exe,2022-12-17 오후 1:25:15
chrome.exe,C:\PROGRAM FILES\Google\Chrome\APPLICATION\chrome.exe,2022-12-17 오후 1:25:14
TASKHOSTW.EXE,C:\WINDOWS\SYSTEM32\TASKHOSTW.EXE,2022-12-17 오후 1:25:14
Teams.exe,C:\Users\User\AppData\Local\MICROSOFT\Teams\current\Teams.exe,2022-12-17 오후 1:25:14
wermgr.exe,C:\Windows\system32\wermgr.exe,2022-12-17 오후 1:25:14
compattelrunner.exe,C:\Windows\system32\compattelrunner.exe,2022-12-17 오후 1:25:14
"Lenovo.Modern.ImController.exe""","""C:\Windows\Lenovo\ImController\Service\Lenovo.Modern.ImController.exe""",2022-12-17 오후 1:25:14
MusNotification.exe,C:\Windows\system32\MusNotification.exe,2022-12-17 오후 1:25:14
ScheduleEventAction.exe,C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\ScheduleEventAction.exe,2022-12-17 오후 1:25:14
OfficeC2RClient.exe,C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe,2022-12-17 오후 1:25:14
NvTmRep.exe,C:\Program Files\NVIDIA Corporation\NvBackend\NvTmRep.exe,2022-12-17 오후 1:25:14
"Lenovo.Modern.ImController.exe""","""C:\Windows\Lenovo\ImController\Service\Lenovo.Modern.ImController.exe""",2022-12-17 오후 1:25:14
"Lenovo.Modern.ImController.exe""","""C:\Windows\Lenovo\ImController\Service\Lenovo.Modern.ImController.exe""",2022-12-17 오후 1:25:14
ScheduleEventAction.exe,C:\Program Files (x86)\Lenovo\VantageService\3.13.43.0\ScheduleEventAction.exe,2022-12-17 오후 1:25:14
InstallServiceTasks.dll,C:\Windows\System32\InstallServiceTasks.dll,2022-12-17 오후 1:25:14
wsqmcons.exe,C:\Windows\System32\wsqmcons.exe,2022-12-17 오후 1:25:14
GoogleUpdate.exe,C:\Program Files (x86)\Google\Update\GoogleUpdate.exe,2022-12-17 오후 1:25:14
GoogleUpdate.exe,C:\Program Files (x86)\Google\Update\GoogleUpdate.exe,2022-12-17 오후 1:25:14
"Lenovo.Modern.ImController.exe""","""C:\Windows\Lenovo\ImController\Service\Lenovo.Modern.ImController.exe""",2022-12-17 오후 1:25:14
nvcontainer.exe,C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe,2022-12-17 오후 1:25:14
