path,modified_time
00000009	007808a4105e0000	000a00007fff0000	8664	MicrosoftWindows.Client.CBS	cw5n1h2txyewy	,
0000000b	000a00004a610907	000c000000000000	8664	Microsoft.Windows.SecureAssessmentBrowser	cw5n1h2txyewy	neutral,
C:\Windows\TEMP\2EA5C5B3-B4A1-47E0-B092-7A4F2C0B8070\dismhost.exe,2021-01-16 01:50:29
C:\Windows\System32\smartscreen.exe,2022-11-10 12:39:03
C:\Users\User\AppData\Local\Temp\277AAF0A-F132-4669-96D2-B21D51155324\dismhost.exe,2021-01-16 01:50:29
C:\Program Files\WindowsApps\Microsoft.WindowsAlarms_11.2210.7.0_x64__8wekyb3d8bbwe\Application,2022-12-16 09:23:07
00000009	000b08a1000b0000	000a000055f00000	8664	Microsoft.WindowsAlarms	8wekyb3d8bbwe	,
00000009	000b08a200070000	000a000055f00000	8664	Microsoft.WindowsAlarms	8wekyb3d8bbwe	,
00000009	07e675944a3c0000	000a00004a650000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	,
C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2022.30100.19004.0_x64__8wekyb3d8bbwe\Application,2022-11-24 06:48:46
C:\ProgramData\Lenovo\Vantage\Addins\IdeaKBDManagerAddin\1.0.2.20\WriteRegConsoleApp.exe,2022-10-31 14:21:36
C:\Windows\system32\devicecensus.exe,2022-03-09 10:13:17
C:\Program Files (x86)\Google\Update\Install\{A1A7FB3D-7F28-4072-899E-FEA6EA4F594A}\CR_3A8DD.tmp\setup.exe,2022-12-16 09:11:43
C:\Program Files (x86)\Google\Update\Install\{A1A7FB3D-7F28-4072-899E-FEA6EA4F594A}\108.0.5359.125_108.0.5359.124_chrome_updater.exe,2022-12-16 09:11:41
C:\Program Files\Google\Chrome\Application\108.0.5359.124\elevation_service.exe,2022-12-12 21:47:24
C:\Program Files\Google\Chrome\Application\108.0.5359.124\Installer\setup.exe,2022-12-15 09:28:28
00000009	0001564c00d60000	000a00004a650000	8664	Microsoft.YourPhone	8wekyb3d8bbwe	,
C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy\Application,2022-11-10 16:00:44
C:\Program Files\WindowsApps\Microsoft.YourPhone_1.22092.214.0_x64__8wekyb3d8bbwe\Application,2022-11-24 07:08:01
00000009	0001564c00d60000	000a000055f00000	8664	Microsoft.YourPhone	8wekyb3d8bbwe	,
C:\Windows\SystemApps\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Application,2022-08-30 16:10:53
C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\Application,2022-11-10 16:00:44
C:\Windows\System32\cmd.exe,2021-01-16 01:50:08
C:\Windows\system32\consent.exe,2022-08-30 15:54:03
C:\Program Files\DB Browser for SQLite\DB Browser for SQLite.exe,2021-05-02 08:13:26
C:\Users\User\Desktop\Tool\DCode.exe,2022-03-05 18:07:59
C:\Program Files (x86)\Event Log Explorer\elex.exe,2022-03-04 03:12:08
C:\Users\User\Desktop\Tool\PEview.exe,2021-11-13 15:00:18
C:\Program Files\AccessData\FTK Imager\FTK Imager.exe,2020-08-19 05:15:54
C:\Users\User\Desktop\Tool\AccessData_FTK_Imager_4.5.0_(x64).exe,2022-03-05 12:19:01
C:\Program Files\010 Editor\010Editor.exe,2021-10-07 05:22:58
C:\Users\User\Desktop\Tool\010EditorWin64Installer12.0.1.exe,2022-03-06 11:20:22
0000000b	000a00004a61079d	000a00004a61079d	8664	Microsoft.Windows.ShellExperienceHost	cw5n1h2txyewy	neutral,
C:\Windows\system32\WFS.exe,2022-08-30 15:54:46
C:\Windows\System32\fsquirt.exe,2019-12-07 09:08:46
C:\Users\User\Desktop\KAPE\kape.exe,2022-03-10 15:38:38
C:\Users\User\Desktop\KAPE\gkape.exe,2022-03-10 15:10:03
0000000b	0001000e00074a61	000a00004a610000	8664	Microsoft.Windows.Search	cw5n1h2txyewy	neutral,
C:\Program Files\Bandizip\data\RegPackage.x86.exe,2022-11-17 08:46:00
C:\Program Files\Microsoft Office\Root\Office16\EXCEL.EXE,2022-12-13 01:10:04
00000009	07e675944a3c0000	000a000055f00000	8664	Microsoft.Windows.Photos	8wekyb3d8bbwe	,
C:\Program Files\Microsoft Office\Root\Office16\POWERPNT.EXE,2022-12-13 01:10:13
C:\Windows\system32\SearchFilterHost.exe,2022-11-10 12:39:59
C:\Windows\system32\SearchProtocolHost.exe,2022-11-10 12:39:59
C:\Windows\system32\wermgr.exe,2022-12-15 10:30:08
C:\Windows\System32\RuntimeBroker.exe,2021-01-16 01:49:58
C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.2300_none_7e14edbc7c88b7d5\TiWorker.exe,2022-10-11 04:20:30
C:\Windows\system32\MusNotifyIcon.exe,2022-11-10 12:40:02
C:\Windows\system32\wbem\WmiApSrv.exe,2021-11-10 14:02:06
00000009	3e8537f652f60000	000a00004a650000	8664	microsoft.windowscommunicationsapps	8wekyb3d8bbwe	,
C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.21238.0_x64__8wekyb3d8bbwe\Application,2022-12-15 10:17:15
00000009	3e8537f652f60000	000a00004c610000	8664	microsoft.windowscommunicationsapps	8wekyb3d8bbwe	,
C:\Windows\system32\MRT.exe,2022-12-15 10:16:49
C:\Windows\SoftwareDistribution\Download\Install\Windows-KB890830-x64-V5.108.exe,2022-12-15 09:29:28
C:\Windows\system32\wuauclt.exe,2022-11-10 12:40:02
C:\Users\User\AppData\Local\Temp\3BCBBB23-79CD-466E-A885-B701FD9F7BB3\dismhost.exe,2021-01-16 01:50:29
C:\Windows\Microsoft.NET\Framework\v4.0.30319\ngen.exe,2020-12-02 22:45:24
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ngen.exe,2020-12-02 22:38:14
C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2201.10-0\MpCmdRun.exe,2022-02-14 16:32:10
C:\Windows\system32\tzsync.exe,2019-12-07 09:09:00
C:\Windows\system32\defrag.exe,2021-01-16 01:50:55
0000000b	03e84a6103ff0000	03e84a6103ff0000	8664	NcsiUwpApp	8wekyb3d8bbwe	neutral,
C:\Windows\system32\makecab.exe,2019-12-07 09:08:46
C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.20970.0_x64__8wekyb3d8bbwe\Application,2022-05-20 11:55:42
C:\$WinREAgent\Scratch\446EC74F-2869-4080-9997-F475F857DAF2\dismhost.exe,2021-01-16 01:50:29
C:\Program Files (x86)\Google\Update\Install\{918F4BA9-FDF3-4D95-9EC0-5C05646D1254}\CR_62FA6.tmp\setup.exe,2022-12-15 09:28:28
C:\Program Files (x86)\Google\Update\Install\{918F4BA9-FDF3-4D95-9EC0-5C05646D1254}\108.0.5359.124_108.0.5359.99_chrome_updater.exe,2022-12-15 09:28:27
C:\Program Files\AhnLab\V3Lite40\MUpdate2\Update\patch\04\mautoup.exe,2022-10-13 08:52:00
00000009	3e8537f651ea0000	000a00004c610000	8664	microsoft.windowscommunicationsapps	8wekyb3d8bbwe	,
C:\Windows\system32\icacls.exe,2019-12-07 09:09:33
C:\Windows\system32\schtasks.exe,2022-02-09 12:10:47
C:\Program Files\Common Files\Microsoft Shared\ClickToRun\officesvcmgr.exe,2022-12-13 01:07:25
C:\Windows\system32\compattelrunner.exe,2021-09-16 23:43:53
00000009	000503362c110000	000a000055f00000	8664	Microsoft.XboxGamingOverlay	8wekyb3d8bbwe	,
C:\Windows\system32\ProvTool.exe,2022-08-30 15:53:36
C:\Windows\SysWOW64\sc.exe,2019-12-07 09:09:57
C:\Windows\sysWOW64\wbem\wmiprvse.exe,2020-10-16 04:36:50
C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\ai.exe,2022-11-06 01:40:42
00000009	56c20579000b0000	000a00004a650000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	,
C:\Program Files\WindowsApps\Microsoft.WindowsStore_22210.1401.11.0_x64__8wekyb3d8bbwe\Application,2022-12-13 15:12:42
00000009	000b08a200000000	000a000055f00000	8664	Microsoft.WindowsCalculator	8wekyb3d8bbwe	,
00000009	56c20579000b0000	000a0000585d0000	8664	Microsoft.WindowsStore	8wekyb3d8bbwe	,
C:\Program Files (x86)\Hnc\Office 2018\HOffice100\bin\HimTrayIcon.exe,2018-04-09 10:37:58
C:\Windows\system32\SgrmBroker.exe,2020-10-16 04:37:04
C:\Program Files (x86)\Hnc\Office 2018\HOffice100\bin\Hwp.exe,2018-04-09 10:42:30
C:\Windows\system32\DllHost.exe,2020-10-16 04:36:35
C:\Users\User\AppData\Local\JandiApp\app-1.5.6\JandiApp.exe,2022-06-30 14:25:45
C:\Users\User\AppData\Local\JandiApp\Update.exe,2022-06-30 14:25:46
C:\Program Files\Windows Defender\mpcmdrun.exe,2019-12-07 09:08:16
C:\Users\User\AppData\Roaming\DesktopCal\dkdockhost.exe,2022-08-31 05:56:58
C:\Users\User\AppData\Roaming\DesktopCal\desktopcal.exe,2022-08-31 05:57:34
C:\Windows\system32\SecurityHealthService.exe,2022-10-14 11:25:53
C:\Windows\System32\BdeUISrv.exe,2022-10-14 11:26:37
C:\Program Files (x86)\SoftForum\XecureWeb\AnySign\dll\AnySign4PC.exe,2019-10-15 01:38:56
