name,modified_time
Blend.9e423e1d,2021-11-28 오전 5:02:11
C:\Python27\python.exe,2022-12-13 오전 12:30:00
C:\Users\Public\Desktop\League of Legends.lnk,2022-12-07 오후 5:06:51
C:\Users\Public\Desktop\OBS Studio.lnk,2022-10-21 오후 5:19:49
C:\Users\Public\Desktop\VMware Workstation Pro.lnk,2022-09-30 오후 9:20:37
C:\Users\Public\Desktop\Wireshark.lnk,2022-05-21 오후 10:36:48
C:\Users\User\AppData\Local\JetBrains\Installations\dotPeek213\dotPeek64.exe,2022-03-06 오후 9:26:00
C:\Users\User\AppData\Roaming\CertpiaVerifier\CertVerifier.exe,2021-12-24 오후 3:51:37
C:\Users\User\Desktop\010 Editor.lnk,2021-11-27 오전 1:15:22
C:\Users\User\Desktop\7z2107-x64.exe,2022-05-27 오후 11:12:05
C:\Users\User\Desktop\[1.2.1.42._x64_001]DFAS_Pro_DEMO_Setup.exe,2022-12-11 오후 4:18:53
C:\Users\User\Desktop\Assembly.exe,2021-11-27 오후 9:03:01
C:\Users\User\Desktop\CrackMe.exe,2021-11-27 오후 11:41:58
C:\Users\User\Desktop\CrowdResponse\CrowdResponse.exe,2022-03-28 오전 2:40:03
C:\Users\User\Desktop\CrowdResponse\CrowdResponse64.exe,2022-03-28 오전 3:34:20
C:\Users\User\Desktop\DCode.exe,2022-03-06 오후 8:58:43
C:\Users\User\Desktop\Dolphago.exe,2021-11-28 오전 12:01:53
C:\Users\User\Desktop\exiftool(-k).exe,2021-11-28 오전 7:04:52
C:\Users\User\Desktop\file.0xfa8001a98de0.0xfa8001a88140.DataSectionObject.ftk-d.exe,2022-05-16 오전 3:35:28
C:\Users\User\Desktop\file.0xfa801900b070.0xfa8018f77690.DataSectionObject.TrueCrypt.exe,2022-05-16 오전 3:29:03
C:\Users\User\Desktop\game.exe,2022-03-06 오후 10:59:02
C:\Users\User\Desktop\install.exe,2021-11-27 오후 9:23:08
